temporada,programa,cancion,artista,j1,j2,j3,j4,publico,bonus,final,total,j5,titulo,autor,especiales,pais,region,ciudad,sexo,edad,categoria
6,16,"Quédate conmigo, de Pastora Soler",Diana Navarro,10,12,10,9,12,,22.0,41 (10),0,Quédate conmigo,Pastora Soler,,España,Andalucía,Málaga,F,39,Cantante
6,17,"Inmensidad, de Mónica Naranjo",Diana Navarro,7,6,6,4,6,,12.0,23 (6),0,Inmensidad,Mónica Naranjo,,España,Andalucía,Málaga,F,39,Cantante
6,18,"The Boy From Ipanema, de Ella Fitzgerald",Diana Navarro,8,9,8,9,10,,19.0,34 (9),0,The Boy From Ipanema,Ella Fitzgerald,,España,Andalucía,Málaga,F,39,Cantante
6,19,"Anytime You Need a Friend, de Mariah Carey",Diana Navarro,6,7,7,7,9,,15.0,27 (6),0,Anytime You Need a Friend,Mariah Carey,,España,Andalucía,Málaga,F,39,Cantante
6,1,"Malibu, de Miley Cyrus",Lucía Gil,9,8,11,12,8,,18.0,40 (10),0,Malibu,Miley Cyrus,,España,Madrid,Madrid,F,19,Cantante
6,2,"Tengo 17 años, de Rocío Dúrcal",Lucía Gil,7,6,5,5,7,,13.0,23 (6),0,Tengo 17 años,Rocío Dúrcal,,España,Madrid,Madrid,F,19,Cantante
6,3,"Mayores, de Becky G",Lucía Gil,6,5,5,10,9,,15.0,26 (6),0,Mayores,Becky G,,España,Madrid,Madrid,F,19,Cantante
6,4,"Candyman, de Christina Aguilera",Lucía Gil,11,11,11,11,11,,22.0,44 (11),0,Candyman,Christina Aguilera,,España,Madrid,Madrid,F,19,Cantante
6,5,"What About Us, de Pink",Lucía Gil,11,11,11,12,10,,21.0,45 (11),0,What About Us,Pink,,España,Madrid,Madrid,F,19,Cantante
6,6,"Algo contigo, de Rosario Flores",Lucía Gil,5,7,7,8,4,,10.0,27 (6),0,Algo contigo,Rosario Flores,,España,Madrid,Madrid,F,19,Cantante
6,7,"Las ocho y diez, de Conchita (Original y copia)",Lucía Gil,12,12,12,12,10,,22.0,48 (12),0,Las ocho y diez,Conchita (Original y copia),Original,España,Madrid,Madrid,F,19,Cantante
6,8,"I Wanna Dance With Somebody (Who Loves Me), de Whitney Houston",Lucía Gil,9,11,11,12,12,,23.0,43 (11),0,I Wanna Dance With Somebody (Who Loves Me),Whitney Houston,,España,Madrid,Madrid,F,19,Cantante
6,9,"Look What You Made Me Do, de Taylor Swift",Lucía Gil,8,6,7,6,4,,11.0,27 (7),0,Look What You Ma,"Me Do, de Taylor Swift",,España,Madrid,Madrid,F,19,Cantante
6,10,"Travesuras, de Nicky Jam",Lucía Gil,5,5,6,6,6,,12.0,22 (6),0,Travesuras,Nicky Jam,,España,Madrid,Madrid,F,19,Cantante
6,11,"Frente a frente, de Jeanette",Lucía Gil,11,11,7,10,11,,22.0,39 (11),0,Frente a frente,Jeanette,,España,Madrid,Madrid,F,19,Cantante
6,12,"Say It Right, de Nelly Furtado",Lucía Gil,6,4,5,6,4,,10.0,21 (6),0,Say It Right,Nelly Furtado,,España,Madrid,Madrid,F,19,Cantante
6,13,"Toda, de Malú",Lucía Gil,5,8,8,10,10,,17.0,31 (7),0,Toda,Malú,,España,Madrid,Madrid,F,19,Cantante
6,14,"Breathless, de Andrea Corr (The Corrs)",Lucía Gil,10,8,7,5,9,,16.0,30 (7),0,Breathless,Andrea Corr (The Corrs),,España,Madrid,Madrid,F,19,Cantante
6,15,"Gitana, de Shakira",Lucía Gil,10,8,9,7,8,,17.0,34 (9),0,Gitana,Shakira,,España,Madrid,Madrid,F,19,Cantante
6,16,"Dime, de Beth",Lucía Gil,4,4,4,5,5,,9.0,17 (4),0,Dime,Beth,,España,Madrid,Madrid,F,19,Cantante
6,17,"Dreams, de Dolores O'Riordan (The Cranberries)",Lucía Gil,6,7,8,8,8,,15.0,29 (7),0,Dreams,Dolores O'Riordan (The Cranberries),,España,Madrid,Madrid,F,19,Cantante
6,18,"Better in Time, de Leona Lewis",Lucía Gil,6,6,9,11,8,,16.0,32 (8),0,Better in Time,Leona Lewis,,España,Madrid,Madrid,F,19,Cantante
6,19,"Stop, de Sam Brown",Lucía Gil,10,10,10,10,11,,21.0,40 (10),0,Stop,Sam Brown,,España,Madrid,Madrid,F,19,Cantante
6,1,"Mi gente, de J Balvin",David Amor,4,5,4,7,7,,12.0,20 (5),0,Mi gente,J Balvin,,España,Galicia,Salceda de Caselas,M,37,Humorista
