temporada,programa,cancion,artista,j1,j2,j3,j4,publico,bonus,final,total,j5
3,1,"No controles, de Vicky Larraz (Olé Olé)",Llum Barrera,10,7.0,9,10,0,Ángela,0.0,36,0
3,1,"Veo, veo, de Teresa Rabal",Santi Rodríguez,6,6.0,8,5,0,Xuso,0.0,35,0
3,1,"Me encanta, de Mario Vaquerizo (Nancys Rubias)",Florentino Fernández,7,5.0,6,7,0,Los Chunguitos,0.0,30,0
3,1,"Sex Bomb, de Tom Jones",José Manuel Soto,5,8.0,4,6,0,Edurne,0.0,23,0
3,1,"La raja de tu falda, de Estopa",Los Chunguitos,4,4.0,5,4,0,Ángela,0.0,22,0
3,2,"Paco, Paco, Paco, de Encarnita Polo",Llum Barrera,11,12.0,12,11,0,Florentino,0.0,61,0
3,2,"Aprendiz, de Malú",Melody,12,10.0,11,12,0,Los Chunguitos,0.0,45,0
3,2,"Por ti volaré, de Andrea Bocelli",Florentino Fernández,6,8.0,10,7,0,Llum,0.0,41,0
3,2,"Sweet child o' mine, de Axl Rose",Edurne,10,11.0,8,10,0,Angela,0.0,39,0
3,2,"La gata bajo la lluvia, de Rocio Dúrcal",Angela Carrasco,7,9.0,6,9,0,Los Chunguitos,0.0,36,0
3,2,"Resistiré, de Dúo Dinámico",Los Chunguitos,4,4.0,4,5,0,Florentino,0.0,32,0
3,2,"I know you want me, de Pitbull",Santi Rodríguez,9,6.0,9,6,0,Llum,0.0,30,0
3,2,"El emigrante, de Juanito Valderrama",José Manuel Soto,5,5.0,7,8,0,Los Chunguitos,0.0,25,0
3,2,"Locked out of heaven, de Bruno Mars",Xuso Jones,8,7.0,5,4,0,Llum,0.0,24,0
3,3,"Holding out for a hero, de Bonnie Tyler",Melody,12,11.0,12,11,0,José Manuel,0.0,71,0
3,3,"Devuélveme a mi chica, de David Summers (Hombres G)",Xuso Jones,10,10.0,11,12,0,Melody,0.0,48,0
3,3,"El ritmo del garaje, de Loquillo",Santi Rodríguez,11,8.0,10,10,0,Melody,0.0,39,0
3,3,"¡Chas! y aparezco a tu lado, de Christina Rosenvinge (Álex y Christina)",Llum Barrera,9,9.0,9,9,0,Melody,0.0,36,0
3,3,"There Must Be an Angel (Playing with My Heart), de Annie Lennox (Eurythmics)",Edurne,8,12.0,8,8,0,Xuso,0.0,36,0
3,3,"Santa Lucía, de Miguel Ríos",José Manuel Soto,5,5.0,5,4,0,Ángela,0.0,29,0
3,3,"Simply Irresistible, de Robert Palmer",Florentino Fernández,7,7.0,7,7,0,José Manuel,0.0,28,0
3,3,"A esa, de Pimpinela",Los Chunguitos,6,6.0,6,6,0,Melody,0.0,24,0
3,3,"Si tú eres mi hombre y yo tu mujer, de Jennifer Rush",Ángela Carrasco,4,4.0,4,5,0,Melody,0.0,22,0
3,4,"El manisero, de Antonio Machín",Ángela Carrasco,12,11.0,11,11,0,Xuso,0.0,65,0
3,4,"Let me entertain you, de Robbie Williams",Xuso Jones,10,8.0,12,10,0,Santi,0.0,50,0
3,4,Agradecido de Rosendo,Florentino Fernández,7,9.0,6,12,0,Ángela,0.0,39,0
3,4,"I dreamed a dream, de Susan Boyle",Llum Barrera,9,12.0,10,6,0,Xuso,0.0,37,0
3,4,"Firework, de Katy Perry",Melody,11,10.0,8,8,0,Ángela,0.0,37,0
3,4,"Sin ti no soy nada, de Eva Amaral (Amaral)",Edurne,8,7.0,9,9,0,Florentino,0.0,33,0
3,4,"Mi limón, mi limonero, de Henry Stephen",Santi Rodríguez,6,6.0,7,7,0,Ángela,0.0,31,0
3,4,"Te he echado de menos, de Pablo Alborán",José Manuel Soto,5,5.0,5,5,0,Ángela,0.0,25,0
3,4,"Bandido, de Azúcar Moreno",Los Chunguitos,4,4.0,4,4,0,José Manuel,0.0,16,0
3,5,"El chow chow y Que güeno que estoy, de El Sevilla (Mojinos Escozíos)",Florentino Fernández,11,7.0,12,11,0,Los Chunguitos,0.0,61,0
3,5,"Try, de P!nk",Edurne,12,12.0,11,12,0,José Manuel,0.0,57,0
3,5,"Todos me miran, de Gloria Trevi",Melody,10,11.0,10,8,0,Edurne,0.0,39,0
3,5,"El tío Calambres, de Luis Aguilé",Llum Barrera,8,10.0,9,10,0,Edurne,0.0,37,0
3,5,"El puente, de Helena Bianco (Los Mismos)",Angela Carrasco,9,9.0,6,6,0,José Manuel,0.0,30,0
3,5,"Candle in the wind, de Elton John",José Manuel Soto,5,5.0,5,5,0,Florentino,0.0,30,0
3,5,"Rolling in the deep, de Adele",Xuso Jones,7,8.0,8,7,0,Florentino,0.0,30,0
3,5,"Toda, de Jesulín de Ubrique",Santi Rodríguez,6,6.0,7,9,0,Florentino,0.0,28,0
3,5,"Son de amores, de Andy y Lucas",Los Chunguitos,4,4.0,4,4,0,Florentino,0.0,21,0
3,6,"Opá, yo viazé un corrá, de El Koala",José Manuel Soto,10,7.0,7,8,0,Xuso,0.0,72,0
3,6,"Blurred Lines, de Robin Thicke",Xuso Jones,8,9.0,12,12,0,José Manuel,0.0,46,0
3,6,"Cariño trianero, de Carmen Sevilla",Edurne,12,11.0,11,10,0,José Manuel,0.0,44,0
3,6,"La copa de la vida, de Ricky Martin",Melody,11,12.0,10,9,0,José Manuel,0.0,42,0
3,6,"Sweet Dreams (Are Made of This), de Marilyn Manson",Florentino Fernández,9,10.0,9,11,0,José Manuel,0.0,39,0
3,6,"Tik Tok, de Ke$ha",Llum Barrera,7,8.0,8,6,0,José Manuel,0.0,29,0
3,6,"Que pasa contigo tío, de Los Golfos",Los Chunguitos,6,6.0,6,4,0,José Manuel,0.0,22,0
3,6,"She Works Hard for the Money, de Donna Summer",Ángela Carrasco,5,5.0,4,7,0,José Manuel,0.0,21,0
3,6,"Time goes by con Loli, de La Terremoto de Alcorcón",Santi Rodríguez,4,4.0,5,5,0,José Manuel,0.0,18,0
3,7,"Aquí no hay playa, de Bernardo J. Vázquez (The Refrescos)",Xuso Jones,12,8.0,9,9,0,Ángela,0.0,63,10
3,7,"Waka Waka (Esto es África), de Shakira",Edurne,10,11.0,10,10,0,Llum,0.0,57,11
3,7,"El camaleón, Saltando sin parar y La bomba, de King África",Florentino Fernández,8,10.0,11,11,0,Santi,0.0,52,12
3,7,"I will survive, de Gloria Gaynor",Melody,11,12.0,12,12,0,Xuso,0.0,51,4
