,temporada,programa,cancion,artista,j1,j2,j3,j4,publico,a,b,c
1,2,4,"Try, de P!nk",Edurne,57,12,12,11,12,José Manuel,,
2,2,4,"Todos me miran, de Gloria Trevi",Melody,39,10,11,10,8,Edurne,,
3,2,4,"El tío Calambres, de Luis Aguilé",Llum Barrera,37,8,10,9,10,Edurne,,
4,2,4,"El puente, de Helena Bianco (Los Mismos)",Angela Carrasco,30,9,9,6,6,José Manuel,,
5,2,4,"Candle in the wind, de Elton John",José Manuel Soto,30,5,5,5,5,Florentino,,
6,2,4,"Rolling in the deep, de Adele",Xuso Jones,30,7,8,8,7,Florentino,,
7,2,4,"Toda, de Jesulín de Ubrique",Santi Rodríguez,28,6,6,7,9,Florentino,,
8,2,4,"Son de amores, de Andy y Lucas",Los Chunguitos,21,4,4,4,4,Florentino,,
0,2,5,"Opá, yo viazé un corrá, de El Koala",José Manuel Soto,72,10,7,7,8,Xuso,,
1,2,5,"Blurred Lines, de Robin Thicke",Xuso Jones,46,8,9,12,12,José Manuel,,
2,2,5,"Cariño trianero, de Carmen Sevilla",Edurne,44,12,11,11,10,José Manuel,,
3,2,5,"La copa de la vida, de Ricky Martin",Melody,42,11,12,10,9,José Manuel,,
4,2,5,"Sweet Dreams (Are Made of This), de Marilyn Manson",Florentino Fernández,39,9,10,9,11,José Manuel,,
5,2,5,"Tik Tok, de Ke$ha",Llum Barrera,29,7,8,8,6,José Manuel,,
6,2,5,"Que pasa contigo tío, de Los Golfos",Los Chunguitos,22,6,6,6,4,José Manuel,,
7,2,5,"She Works Hard for the Money, de Donna Summer",Ángela Carrasco,21,5,5,4,7,José Manuel,,
8,2,5,"Time goes by con Loli, de La Terremoto de Alcorcón",Santi Rodríguez,18,4,4,5,5,José Manuel,,
0,2,6,"Aquí no hay playa, de Bernardo J. Vázquez (The Refrescos)",Xuso Jones,63,12,8,10,9,9,Ángela,
1,2,6,"Waka Waka (Esto es África), de Shakira",Edurne,57,10,11,11,10,10,Llum,
2,2,6,"El camaleón, Saltando sin parar y La bomba, de King Africa",Florentino Fernández,52,8,10,12,11,11,Santi,
3,2,6,"I will survive, de Gloria Gaynor",Melody,51,11,12,4,12,12,Xuso,
4,2,6,"Cartagena, Pulpa de tamarindo y Me lo dijo Pérez, de Alma María Vaesken (Los 3 Sudamericanos)",Llum Barrera,47,9,9,8,8,8,Xuso,
5,2,6,"La bilirrubina, de Juan Luis Guerra",Ángela Carrasco,40,6,6,7,5,6,Xuso,
6,2,6,"A-ba-ni-bi, de El Chaval de la Peca",José Manuel Soto,37,7,7,9,7,7,Los Chunguitos,
7,2,6,"Eva María y Vacaciones de verano, de Paco Pastor (Fórmula V)",Santi Rodríguez,29,4,4,5,6,5,Ángela,
8,2,6,"Macarena, de Los Del Río",Los Chunguitos,29,5,5,6,4,4,Edurne,
0,2,7,"Cantinero de Cuba, de Sergio y Estíbaliz",Los Chunguitos,66,4,4,12,11,José Manuel,,
1,2,7,"Man! I feel like a woman, de Shania Twain",Edurne,48,11,11,9,12,Los Chunguitos,,
2,2,7,"Achilipú, de Dolores Vargas",Melody,42,12,12,10,8,Los Chunguitos,,
3,2,7,"La culpa fue del cha-cha-cha, de Jaime Urrutia (Gabinete Caligari)",Santi Rodríguez,34,7,6,11,10,Edurne,,
4,2,7,"Enséñame a cantar, de Micky",José Manuel Soto,32,6,7,5,9,Los Chunguitos,,
5,2,7,"This Love, de Adam Levine (Maroon 5)",Xuso Jones,31,9,10,8,4,Los Chunguitos,,
6,2,7,"Rata de dos patas, de Paquita la del Barrio",Florentino Fernández,30,8,9,6,7,Los Chunguitos,,
7,2,7,"El Noa-Noa, de Massiel",Llum Barrera,30,10,8,7,5,Los Chunguitos,,
8,2,7,"Qué hiciste, de Jennifer López",Ángela Carrasco,20,5,5,4,6,Los Chunguitos,,
0,2,8,"Antes muerta que sencilla, de María Isabel",Llum Barrera,53,12,12,12,12,Ángela,,
1,2,8,"Dame veneno y Me sabe a humo, de Juan Salazar de Los Chunguitos",Florentino Fernández,43,11,6,11,5,Los Chunguitos,,
